,State,Code,Count,#ofApplicants,#ofGrantees,ConversionRate,%ofApplicants,%ofGrantees,PatentCategory,PatentCategory%
0,Alabama,AL,42178180,10572.0,8992.0,85.0548618993568,0.025065092898745277,0.02131908014997328,Chemical Grantee,0.02832229999999999
1,Alaska,AK,6408880,1035.0,847.0,81.83574879227054,0.01614946761368601,0.01321603774762517,Chemical Grantee,0.010159600000000001
2,Arizona,AZ,49827590,42810.0,35747.0,83.5015183368372,0.08591625643544068,0.07174137862176357,Chemical Grantee,0.06318169999999997
3,Arkansas,AR,25234430,4843.0,3932.0,81.18934544703697,0.019192032473093312,0.015581885542887239,Chemical Grantee,0.016106399999999993
4,California,CA,325561500,522238.0,444906.0,85.19219206568653,0.16041147371541167,0.13665805078303178,Chemical Grantee,0.12205980000000005
5,Colorado,CO,46262210,53910.0,44420.0,82.39658690409942,0.11653139787312365,0.09601789451909021,Chemical Grantee,0.08854009999999997
6,Connecticut,CT,34732300,52248.0,41252.0,78.95421834328586,0.15043057902874268,0.11877128782142271,Chemical Grantee,0.19292500000000012
7,Delaware,DE,8317030,11101.0,8621.0,77.65967029997297,0.13347312682532106,0.10365479023160913,Chemical Grantee,0.4198300000000002
8,District of Columbia,DC,5283940,2728.0,1871.0,68.58504398826979,0.05162814112196581,0.03540918329882625,Chemical Grantee,0.03816440000000001
9,Florida,FL,169018300,67087.0,54657.0,81.47182017380416,0.03969215167825023,0.032337918438417615,Chemical Grantee,0.031545139999999965
10,Georgia,GA,82197590,44126.0,34957.0,79.22086751575034,0.05368283911973575,0.04252801085773926,Chemical Grantee,0.05486838000000003
11,Hawaii,HI,12794030,2674.0,1996.0,74.64472700074795,0.02090037306462467,0.015601026416226944,Chemical Grantee,0.013511600000000004
12,Idaho,ID,13437930,15340.0,13402.0,87.36636245110822,0.1141544865913128,0.09973262250956806,Chemical Grantee,0.10512410000000014
13,Illinois,IL,121544440,104432.0,85496.0,81.86762678106328,0.08592083685605034,0.07034135004447756,Chemical Grantee,0.09149441000000007
14,Indiana,IN,61772650,41912.0,34439.0,82.16978430998282,0.06784879716185076,0.055751210284810504,Chemical Grantee,0.06555190000000002
15,Iowa,IA,29443520,17662.0,15792.0,89.41229758804212,0.059986034278510174,0.05363489148036647,Chemical Grantee,0.046619199999999965
16,Kansas,KS,26810170,12402.0,11316.0,91.24334784712144,0.04625856531308828,0.042207863657709,Chemical Grantee,0.0406581
17,Kentucky,KY,39051410,14431.0,11826.0,81.94858291178713,0.036953851346212596,0.030283157509549588,Chemical Grantee,0.03999150000000003
18,Louisiana,LA,39131630,9137.0,7635.0,83.56134398599102,0.023349397916723632,0.019511070711851257,Chemical Grantee,0.045406300000000004
19,Maine,ME,13310980,4895.0,3779.0,77.20122574055158,0.03677415186560268,0.028390095995937187,Chemical Grantee,0.036466600000000016
20,Maryland,MD,54919690,46140.0,35096.0,76.06415257910707,0.08401358419903682,0.06390422087233195,Chemical Grantee,0.08238600000000003
21,Massachusetts,MA,63522480,133595.0,104002.0,77.84872188330402,0.21031137323353874,0.16372471603753508,Chemical Grantee,0.20554150000000004
22,Michigan,MI,96932190,105860.0,88904.0,83.98261855280559,0.10921036654593277,0.09171772555639153,Chemical Grantee,0.0885664300000001
23,Minnesota,MN,51704680,84097.0,67370.0,80.10987312270355,0.16264871961300215,0.13029768291767788,Chemical Grantee,0.1504575000000002
24,Mississippi,MS,25023530,4160.0,3393.0,81.5625,0.01662435315880693,0.013559238045151903,Chemical Grantee,0.024584400000000024
25,Missouri,MO,55837550,25478.0,17732.0,69.59729963105424,0.04562879281057281,0.0317564076504073,Chemical Grantee,0.04518200000000001
26,Montana,MT,9482230,3532.0,2733.0,77.37825594563986,0.037248621895904235,0.02882233398683643,Chemical Grantee,0.04403950000000004
27,Nebraska,NE,17392120,5732.0,4918.0,85.79902302861132,0.03295745429539355,0.02827717380054875,Chemical Grantee,0.02823309999999998
28,Nevada,NV,22791100,11026.0,8515.0,77.22655541447487,0.04837853372588422,0.0373610751565304,Chemical Grantee,0.0275378
29,New Hampshire,NH,13735650,18961.0,15646.0,82.51674489742102,0.13804224772762846,0.11390796940807316,Chemical Grantee,0.10053089999999988
30,New Jersey,NJ,86379550,102578.0,82078.0,80.01520793932421,0.11875264457849109,0.09502017549292628,Chemical Grantee,0.16525220000000027
31,New Mexico,NM,17174440,10085.0,9128.0,90.5106593951413,0.058720983042241846,0.053148748954842194,Chemical Grantee,0.10103869999999994
32,New York,NY,176144920,156411.0,129000.0,82.47501774171894,0.08879677029573149,0.07323515205547795,Chemical Grantee,0.10485172000000005
33,North Carolina,NC,83243880,62320.0,50293.0,80.70121951219512,0.07486436240117592,0.06041645343777825,Chemical Grantee,0.06231280999999997
34,North Dakota,ND,6551100,2295.0,1878.0,81.83006535947712,0.035032284654485504,0.028666941429683564,Chemical Grantee,0.036772099999999995
35,Ohio,OH,112500330,89188.0,75749.0,84.9318293940889,0.07927798967345251,0.0673322469365201,Chemical Grantee,0.11729048000000004
36,Oklahoma,OK,32869340,12127.0,10490.0,86.50119567906324,0.03689456496540545,0.031914239835664486,Chemical Grantee,0.06241280000000002
37,Oregon,OR,35467090,41836.0,35845.0,85.67979730375754,0.11795723866829784,0.10106552299610709,Chemical Grantee,0.07263270000000008
38,Pennsylvania,PA,123951460,97902.0,77870.0,79.53872239586526,0.07898414427712266,0.0628229792533303,Chemical Grantee,0.11419006000000007
39,Rhode Island,RI,10144350,7666.0,6508.0,84.89433863814246,0.07556915918713372,0.06415393790632225,Chemical Grantee,0.06729619999999994
40,South Carolina,SC,40072000,18242.0,14516.0,79.57460804736323,0.04552305849470953,0.03622479536833699,Chemical Grantee,0.06748519999999995
41,South Dakota,SD,7770970,2284.0,1888.0,82.66199649737302,0.029391440193437885,0.024295551263227112,Chemical Grantee,0.013911799999999993
42,Tennessee,TN,57688840,24000.0,19547.0,81.44583333333333,0.04160250058763532,0.03388350329110448,Chemical Grantee,0.05756879999999992
43,Texas,TX,207811640,160106.0,131476.0,82.11809676089591,0.07704380755572691,0.06326690843689026,Chemical Grantee,0.07160926999999999
44,Utah,UT,22153580,23764.0,18344.0,77.19239185322337,0.10726934427753888,0.08280377257310105,Chemical Grantee,0.09209009999999994
45,Vermont,VT,6438820,9426.0,8402.0,89.13643114788881,0.14639328324133927,0.13048974812155023,Chemical Grantee,0.09093250000000001
46,Virginia,VA,75175850,38807.0,30907.0,79.64284793980467,0.05162163114883304,0.041112937199911936,Chemical Grantee,0.04780364999999999
47,Washington,WA,63082250,100850.0,82177.0,81.48438274665345,0.159870645070523,0.13026960832880882,Chemical Grantee,0.06764620000000003
48,West Virginia,WV,16979390,3613.0,2906.0,80.43177414890673,0.021278738517697043,0.017114866906290507,Chemical Grantee,0.06093420000000008
49,Wisconsin,WI,56197100,53314.0,46160.0,86.58138575233522,0.094869664092987,0.08213946983029373,Chemical Grantee,0.10859629999999995
50,Wyoming,WY,5375670,1922.0,1516.0,78.87617065556711,0.03575368279674906,0.02820113585841393,Chemical Grantee,0.044548500000000005
51,Alabama,AL,42178180,10572.0,8992.0,85.0548618993568,0.025065092898745277,0.02131908014997328,Computers and Communications Grantee,0.03957610000000005
52,Alaska,AK,6408880,1035.0,847.0,81.83574879227054,0.01614946761368601,0.01321603774762517,Computers and Communications Grantee,0.012306300000000003
53,Arizona,AZ,49827590,42810.0,35747.0,83.5015183368372,0.08591625643544068,0.07174137862176357,Computers and Communications Grantee,0.18455869999999977
54,Arkansas,AR,25234430,4843.0,3932.0,81.18934544703697,0.019192032473093312,0.015581885542887239,Computers and Communications Grantee,0.013662899999999993
55,California,CA,325561500,522238.0,444906.0,85.19219206568653,0.16041147371541167,0.13665805078303178,Computers and Communications Grantee,0.43651293000000035
56,Colorado,CO,46262210,53910.0,44420.0,82.39658690409942,0.11653139787312365,0.09601789451909021,Computers and Communications Grantee,0.30062560000000005
57,Connecticut,CT,34732300,52248.0,41252.0,78.95421834328586,0.15043057902874268,0.11877128782142271,Computers and Communications Grantee,0.17058220000000007
58,Delaware,DE,8317030,11101.0,8621.0,77.65967029997297,0.13347312682532106,0.10365479023160913,Computers and Communications Grantee,0.06658870000000001
59,District of Columbia,DC,5283940,2728.0,1871.0,68.58504398826979,0.05162814112196581,0.03540918329882625,Computers and Communications Grantee,0.11651760000000007
60,Florida,FL,169018300,67087.0,54657.0,81.47182017380416,0.03969215167825023,0.032337918438417615,Computers and Communications Grantee,0.06861776999999997
61,Georgia,GA,82197590,44126.0,34957.0,79.22086751575034,0.05368283911973575,0.04252801085773926,Computers and Communications Grantee,0.09725835000000006
62,Hawaii,HI,12794030,2674.0,1996.0,74.64472700074795,0.02090037306462467,0.015601026416226944,Computers and Communications Grantee,0.031060400000000002
63,Idaho,ID,13437930,15340.0,13402.0,87.36636245110822,0.1141544865913128,0.09973262250956806,Computers and Communications Grantee,0.2683762999999999
64,Illinois,IL,121544440,104432.0,85496.0,81.86762678106328,0.08592083685605034,0.07034135004447756,Computers and Communications Grantee,0.13046686999999998
65,Indiana,IN,61772650,41912.0,34439.0,82.16978430998282,0.06784879716185076,0.055751210284810504,Computers and Communications Grantee,0.05307409999999993
66,Iowa,IA,29443520,17662.0,15792.0,89.41229758804212,0.059986034278510174,0.05363489148036647,Computers and Communications Grantee,0.08305110000000002
67,Kansas,KS,26810170,12402.0,11316.0,91.24334784712144,0.04625856531308828,0.042207863657709,Computers and Communications Grantee,0.1128504000000001
68,Kentucky,KY,39051410,14431.0,11826.0,81.94858291178713,0.036953851346212596,0.030283157509549588,Computers and Communications Grantee,0.05327739999999997
69,Louisiana,LA,39131630,9137.0,7635.0,83.56134398599102,0.023349397916723632,0.019511070711851257,Computers and Communications Grantee,0.012900400000000006
70,Maine,ME,13310980,4895.0,3779.0,77.20122574055158,0.03677415186560268,0.028390095995937187,Computers and Communications Grantee,0.03594780000000003
71,Maryland,MD,54919690,46140.0,35096.0,76.06415257910707,0.08401358419903682,0.06390422087233195,Computers and Communications Grantee,0.13374360000000016
72,Massachusetts,MA,63522480,133595.0,104002.0,77.84872188330402,0.21031137323353874,0.16372471603753508,Computers and Communications Grantee,0.3972497000000006
73,Michigan,MI,96932190,105860.0,88904.0,83.98261855280559,0.10921036654593277,0.09171772555639153,Computers and Communications Grantee,0.11533539999999996
74,Minnesota,MN,51704680,84097.0,67370.0,80.10987312270355,0.16264871961300215,0.13029768291767788,Computers and Communications Grantee,0.24928520000000018
75,Mississippi,MS,25023530,4160.0,3393.0,81.5625,0.01662435315880693,0.013559238045151903,Computers and Communications Grantee,0.011295
76,Missouri,MO,55837550,25478.0,17732.0,69.59729963105424,0.04562879281057281,0.0317564076504073,Computers and Communications Grantee,0.041539100000000016
77,Montana,MT,9482230,3532.0,2733.0,77.37825594563986,0.037248621895904235,0.02882233398683643,Computers and Communications Grantee,0.030910600000000003
78,Nebraska,NE,17392120,5732.0,4918.0,85.79902302861132,0.03295745429539355,0.02827717380054875,Computers and Communications Grantee,0.04348680000000003
79,Nevada,NV,22791100,11026.0,8515.0,77.22655541447487,0.04837853372588422,0.0373610751565304,Computers and Communications Grantee,0.05907919999999998
80,New Hampshire,NH,13735650,18961.0,15646.0,82.51674489742102,0.13804224772762846,0.11390796940807316,Computers and Communications Grantee,0.27437490000000025
81,New Jersey,NJ,86379550,102578.0,82078.0,80.01520793932421,0.11875264457849109,0.09502017549292628,Computers and Communications Grantee,0.2250815999999999
82,New Mexico,NM,17174440,10085.0,9128.0,90.5106593951413,0.058720983042241846,0.053148748954842194,Computers and Communications Grantee,0.09207269999999997
83,New York,NY,176144920,156411.0,129000.0,82.47501774171894,0.08879677029573149,0.07323515205547795,Computers and Communications Grantee,0.17618060999999985
84,North Carolina,NC,83243880,62320.0,50293.0,80.70121951219512,0.07486436240117592,0.06041645343777825,Computers and Communications Grantee,0.16025848000000006
85,North Dakota,ND,6551100,2295.0,1878.0,81.83006535947712,0.035032284654485504,0.028666941429683564,Computers and Communications Grantee,0.03429280000000002
86,Ohio,OH,112500330,89188.0,75749.0,84.9318293940889,0.07927798967345251,0.0673322469365201,Computers and Communications Grantee,0.05694991000000005
87,Oklahoma,OK,32869340,12127.0,10490.0,86.50119567906324,0.03689456496540545,0.031914239835664486,Computers and Communications Grantee,0.031844200000000045
88,Oregon,OR,35467090,41836.0,35845.0,85.67979730375754,0.11795723866829784,0.10106552299610709,Computers and Communications Grantee,0.3371677000000001
89,Pennsylvania,PA,123951460,97902.0,77870.0,79.53872239586526,0.07898414427712266,0.0628229792533303,Computers and Communications Grantee,0.0826358
90,Rhode Island,RI,10144350,7666.0,6508.0,84.89433863814246,0.07556915918713372,0.06415393790632225,Computers and Communications Grantee,0.10035979999999993
91,South Carolina,SC,40072000,18242.0,14516.0,79.57460804736323,0.04552305849470953,0.03622479536833699,Computers and Communications Grantee,0.028368299999999996
92,South Dakota,SD,7770970,2284.0,1888.0,82.66199649737302,0.029391440193437885,0.024295551263227112,Computers and Communications Grantee,0.033630099999999996
93,Tennessee,TN,57688840,24000.0,19547.0,81.44583333333333,0.04160250058763532,0.03388350329110448,Computers and Communications Grantee,0.03129569999999998
94,Texas,TX,207811640,160106.0,131476.0,82.11809676089591,0.07704380755572691,0.06326690843689026,Computers and Communications Grantee,0.18549443999999993
95,Utah,UT,22153580,23764.0,18344.0,77.19239185322337,0.10726934427753888,0.08280377257310105,Computers and Communications Grantee,0.17689159999999995
96,Vermont,VT,6438820,9426.0,8402.0,89.13643114788881,0.14639328324133927,0.13048974812155023,Computers and Communications Grantee,0.3685429000000005
97,Virginia,VA,75175850,38807.0,30907.0,79.64284793980467,0.05162163114883304,0.041112937199911936,Computers and Communications Grantee,0.11053569999999997
98,Washington,WA,63082250,100850.0,82177.0,81.48438274665345,0.159870645070523,0.13026960832880882,Computers and Communications Grantee,0.5753483000000008
99,West Virginia,WV,16979390,3613.0,2906.0,80.43177414890673,0.021278738517697043,0.017114866906290507,Computers and Communications Grantee,0.012139799999999997
100,Wisconsin,WI,56197100,53314.0,46160.0,86.58138575233522,0.094869664092987,0.08213946983029373,Computers and Communications Grantee,0.06912049999999996
101,Wyoming,WY,5375670,1922.0,1516.0,78.87617065556711,0.03575368279674906,0.02820113585841393,Computers and Communications Grantee,0.030157799999999995
102,Alabama,AL,42178180,10572.0,8992.0,85.0548618993568,0.025065092898745277,0.02131908014997328,Drugs and Medical Grantee,0.031052399999999977
103,Alaska,AK,6408880,1035.0,847.0,81.83574879227054,0.01614946761368601,0.01321603774762517,Drugs and Medical Grantee,0.011007599999999996
104,Arizona,AZ,49827590,42810.0,35747.0,83.5015183368372,0.08591625643544068,0.07174137862176357,Drugs and Medical Grantee,0.05040489999999995
105,Arkansas,AR,25234430,4843.0,3932.0,81.18934544703697,0.019192032473093312,0.015581885542887239,Drugs and Medical Grantee,0.02105920000000001
106,California,CA,325561500,522238.0,444906.0,85.19219206568653,0.16041147371541167,0.13665805078303178,Drugs and Medical Grantee,0.18897414000000023
107,Colorado,CO,46262210,53910.0,44420.0,82.39658690409942,0.11653139787312365,0.09601789451909021,Drugs and Medical Grantee,0.09377749999999987
108,Connecticut,CT,34732300,52248.0,41252.0,78.95421834328586,0.15043057902874268,0.11877128782142271,Drugs and Medical Grantee,0.1977131
109,Delaware,DE,8317030,11101.0,8621.0,77.65967029997297,0.13347312682532106,0.10365479023160913,Drugs and Medical Grantee,0.2081413000000004
110,District of Columbia,DC,5283940,2728.0,1871.0,68.58504398826979,0.05162814112196581,0.03540918329882625,Drugs and Medical Grantee,0.07946890000000009
111,Florida,FL,169018300,67087.0,54657.0,81.47182017380416,0.03969215167825023,0.032337918438417615,Drugs and Medical Grantee,0.04270116999999995
112,Georgia,GA,82197590,44126.0,34957.0,79.22086751575034,0.05368283911973575,0.04252801085773926,Drugs and Medical Grantee,0.04757841
113,Hawaii,HI,12794030,2674.0,1996.0,74.64472700074795,0.02090037306462467,0.015601026416226944,Drugs and Medical Grantee,0.02641010000000001
114,Idaho,ID,13437930,15340.0,13402.0,87.36636245110822,0.1141544865913128,0.09973262250956806,Drugs and Medical Grantee,0.028715099999999993
115,Illinois,IL,121544440,104432.0,85496.0,81.86762678106328,0.08592083685605034,0.07034135004447756,Drugs and Medical Grantee,0.06810539
116,Indiana,IN,61772650,41912.0,34439.0,82.16978430998282,0.06784879716185076,0.055751210284810504,Drugs and Medical Grantee,0.09865689999999994
117,Iowa,IA,29443520,17662.0,15792.0,89.41229758804212,0.059986034278510174,0.05363489148036647,Drugs and Medical Grantee,0.0749487
118,Kansas,KS,26810170,12402.0,11316.0,91.24334784712144,0.04625856531308828,0.042207863657709,Drugs and Medical Grantee,0.03232759999999998
119,Kentucky,KY,39051410,14431.0,11826.0,81.94858291178713,0.036953851346212596,0.030283157509549588,Drugs and Medical Grantee,0.026399699999999977
120,Louisiana,LA,39131630,9137.0,7635.0,83.56134398599102,0.023349397916723632,0.019511070711851257,Drugs and Medical Grantee,0.01916089999999999
121,Maine,ME,13310980,4895.0,3779.0,77.20122574055158,0.03677415186560268,0.028390095995937187,Drugs and Medical Grantee,0.034576799999999984
122,Maryland,MD,54919690,46140.0,35096.0,76.06415257910707,0.08401358419903682,0.06390422087233195,Drugs and Medical Grantee,0.16128630000000013
123,Massachusetts,MA,63522480,133595.0,104002.0,77.84872188330402,0.21031137323353874,0.16372471603753508,Drugs and Medical Grantee,0.34062440000000066
124,Michigan,MI,96932190,105860.0,88904.0,83.98261855280559,0.10921036654593277,0.09171772555639153,Drugs and Medical Grantee,0.05222141999999999
125,Minnesota,MN,51704680,84097.0,67370.0,80.10987312270355,0.16264871961300215,0.13029768291767788,Drugs and Medical Grantee,0.23941340000000016
126,Mississippi,MS,25023530,4160.0,3393.0,81.5625,0.01662435315880693,0.013559238045151903,Drugs and Medical Grantee,0.019457300000000004
127,Missouri,MO,55837550,25478.0,17732.0,69.59729963105424,0.04562879281057281,0.0317564076504073,Drugs and Medical Grantee,0.054109199999999975
128,Montana,MT,9482230,3532.0,2733.0,77.37825594563986,0.037248621895904235,0.02882233398683643,Drugs and Medical Grantee,0.04099619999999998
129,Nebraska,NE,17392120,5732.0,4918.0,85.79902302861132,0.03295745429539355,0.02827717380054875,Drugs and Medical Grantee,0.03806549999999996
130,Nevada,NV,22791100,11026.0,8515.0,77.22655541447487,0.04837853372588422,0.0373610751565304,Drugs and Medical Grantee,0.024510400000000005
131,New Hampshire,NH,13735650,18961.0,15646.0,82.51674489742102,0.13804224772762846,0.11390796940807316,Drugs and Medical Grantee,0.10234689999999995
132,New Jersey,NJ,86379550,102578.0,82078.0,80.01520793932421,0.11875264457849109,0.09502017549292628,Drugs and Medical Grantee,0.1955834
133,New Mexico,NM,17174440,10085.0,9128.0,90.5106593951413,0.058720983042241846,0.053148748954842194,Drugs and Medical Grantee,0.04050450000000001
134,New York,NY,176144920,156411.0,129000.0,82.47501774171894,0.08879677029573149,0.07323515205547795,Drugs and Medical Grantee,0.07311292
135,North Carolina,NC,83243880,62320.0,50293.0,80.70121951219512,0.07486436240117592,0.06041645343777825,Drugs and Medical Grantee,0.07500408000000001
136,North Dakota,ND,6551100,2295.0,1878.0,81.83006535947712,0.035032284654485504,0.028666941429683564,Drugs and Medical Grantee,0.013563000000000002
137,Ohio,OH,112500330,89188.0,75749.0,84.9318293940889,0.07927798967345251,0.0673322469365201,Drugs and Medical Grantee,0.06579071000000002
138,Oklahoma,OK,32869340,12127.0,10490.0,86.50119567906324,0.03689456496540545,0.031914239835664486,Drugs and Medical Grantee,0.0224817
139,Oregon,OR,35467090,41836.0,35845.0,85.67979730375754,0.11795723866829784,0.10106552299610709,Drugs and Medical Grantee,0.055229500000000036
140,Pennsylvania,PA,123951460,97902.0,77870.0,79.53872239586526,0.07898414427712266,0.0628229792533303,Drugs and Medical Grantee,0.11049508000000004
141,Rhode Island,RI,10144350,7666.0,6508.0,84.89433863814246,0.07556915918713372,0.06415393790632225,Drugs and Medical Grantee,0.07858260000000002
142,South Carolina,SC,40072000,18242.0,14516.0,79.57460804736323,0.04552305849470953,0.03622479536833699,Drugs and Medical Grantee,0.023568099999999974
143,South Dakota,SD,7770970,2284.0,1888.0,82.66199649737302,0.029391440193437885,0.024295551263227112,Drugs and Medical Grantee,0.02385499999999999
144,Tennessee,TN,57688840,24000.0,19547.0,81.44583333333333,0.04160250058763532,0.03388350329110448,Drugs and Medical Grantee,0.051780399999999976
145,Texas,TX,207811640,160106.0,131476.0,82.11809676089591,0.07704380755572691,0.06326690843689026,Drugs and Medical Grantee,0.042541389999999936
146,Utah,UT,22153580,23764.0,18344.0,77.19239185322337,0.10726934427753888,0.08280377257310105,Drugs and Medical Grantee,0.14093110000000006
147,Vermont,VT,6438820,9426.0,8402.0,89.13643114788881,0.14639328324133927,0.13048974812155023,Drugs and Medical Grantee,0.05327249999999998
148,Virginia,VA,75175850,38807.0,30907.0,79.64284793980467,0.05162163114883304,0.041112937199911936,Drugs and Medical Grantee,0.03706206
149,Washington,WA,63082250,100850.0,82177.0,81.48438274665345,0.159870645070523,0.13026960832880882,Drugs and Medical Grantee,0.10418410000000006
150,West Virginia,WV,16979390,3613.0,2906.0,80.43177414890673,0.021278738517697043,0.017114866906290507,Drugs and Medical Grantee,0.014131600000000003
151,Wisconsin,WI,56197100,53314.0,46160.0,86.58138575233522,0.094869664092987,0.08213946983029373,Drugs and Medical Grantee,0.10220840000000009
152,Wyoming,WY,5375670,1922.0,1516.0,78.87617065556711,0.03575368279674906,0.02820113585841393,Drugs and Medical Grantee,0.023240700000000006
153,Alabama,AL,42178180,10572.0,8992.0,85.0548618993568,0.025065092898745277,0.02131908014997328,Electrical and Electronic Grantee,0.024912700000000003
154,Alaska,AK,6408880,1035.0,847.0,81.83574879227054,0.01614946761368601,0.01321603774762517,Electrical and Electronic Grantee,0.009565299999999999
155,Arizona,AZ,49827590,42810.0,35747.0,83.5015183368372,0.08591625643544068,0.07174137862176357,Electrical and Electronic Grantee,0.17858189999999996
156,Arkansas,AR,25234430,4843.0,3932.0,81.18934544703697,0.019192032473093312,0.015581885542887239,Electrical and Electronic Grantee,0.013732099999999994
157,California,CA,325561500,522238.0,444906.0,85.19219206568653,0.16041147371541167,0.13665805078303178,Electrical and Electronic Grantee,0.23297760999999986
158,Colorado,CO,46262210,53910.0,44420.0,82.39658690409942,0.11653139787312365,0.09601789451909021,Electrical and Electronic Grantee,0.1369283999999999
159,Connecticut,CT,34732300,52248.0,41252.0,78.95421834328586,0.15043057902874268,0.11877128782142271,Electrical and Electronic Grantee,0.18251859999999995
160,Delaware,DE,8317030,11101.0,8621.0,77.65967029997297,0.13347312682532106,0.10365479023160913,Electrical and Electronic Grantee,0.0741138000000001
161,District of Columbia,DC,5283940,2728.0,1871.0,68.58504398826979,0.05162814112196581,0.03540918329882625,Electrical and Electronic Grantee,0.032071800000000004
162,Florida,FL,169018300,67087.0,54657.0,81.47182017380416,0.03969215167825023,0.032337918438417615,Electrical and Electronic Grantee,0.04470780999999997
163,Georgia,GA,82197590,44126.0,34957.0,79.22086751575034,0.05368283911973575,0.04252801085773926,Electrical and Electronic Grantee,0.04339128
164,Hawaii,HI,12794030,2674.0,1996.0,74.64472700074795,0.02090037306462467,0.015601026416226944,Electrical and Electronic Grantee,0.01854640000000001
165,Idaho,ID,13437930,15340.0,13402.0,87.36636245110822,0.1141544865913128,0.09973262250956806,Electrical and Electronic Grantee,0.32849339999999994
166,Illinois,IL,121544440,104432.0,85496.0,81.86762678106328,0.08592083685605034,0.07034135004447756,Electrical and Electronic Grantee,0.0889718999999999
167,Indiana,IN,61772650,41912.0,34439.0,82.16978430998282,0.06784879716185076,0.055751210284810504,Electrical and Electronic Grantee,0.07889009999999996
168,Iowa,IA,29443520,17662.0,15792.0,89.41229758804212,0.059986034278510174,0.05363489148036647,Electrical and Electronic Grantee,0.05132769999999997
169,Kansas,KS,26810170,12402.0,11316.0,91.24334784712144,0.04625856531308828,0.042207863657709,Electrical and Electronic Grantee,0.03065039999999999
170,Kentucky,KY,39051410,14431.0,11826.0,81.94858291178713,0.036953851346212596,0.030283157509549588,Electrical and Electronic Grantee,0.027240200000000013
171,Louisiana,LA,39131630,9137.0,7635.0,83.56134398599102,0.023349397916723632,0.019511070711851257,Electrical and Electronic Grantee,0.010436100000000007
172,Maine,ME,13310980,4895.0,3779.0,77.20122574055158,0.03677415186560268,0.028390095995937187,Electrical and Electronic Grantee,0.05084940000000002
173,Maryland,MD,54919690,46140.0,35096.0,76.06415257910707,0.08401358419903682,0.06390422087233195,Electrical and Electronic Grantee,0.07599429999999997
